2024-12-03 10:38:25.069257 Epoch 1, Training loss 0.3524161725800637, Validation Accuracy 0.8808074335148991
2024-12-03 10:38:39.753227 Epoch 2, Training loss 0.2419350322183461, Validation Accuracy 0.9083627042614547
2024-12-03 10:38:54.135550 Epoch 3, Training loss 0.18623298384815629, Validation Accuracy 0.9333546940083307
2024-12-03 10:39:08.536638 Epoch 4, Training loss 0.16822902714474158, Validation Accuracy 0.9336751041332906
2024-12-03 10:39:23.182792 Epoch 5, Training loss 0.1603142052061028, Validation Accuracy 0.9452098686318487
2024-12-03 10:39:37.354841 Epoch 6, Training loss 0.14471489402372933, Validation Accuracy 0.9404037167574495
2024-12-03 10:39:51.838368 Epoch 7, Training loss 0.12445248730959949, Validation Accuracy 0.9525793015059276
2024-12-03 10:40:05.981195 Epoch 8, Training loss 0.11541969453839705, Validation Accuracy 0.950336430631208
2024-12-03 10:40:20.672120 Epoch 9, Training loss 0.11495391660702159, Validation Accuracy 0.9615507850048062
2024-12-03 10:40:34.988392 Epoch 10, Training loss 0.10359811766497921, Validation Accuracy 0.9545017622556873
2024-12-03 10:40:49.718038 Epoch 11, Training loss 0.09547210074089772, Validation Accuracy 0.9605895546299263
2024-12-03 10:41:04.113729 Epoch 12, Training loss 0.08633901696782886, Validation Accuracy 0.962512015379686
2024-12-03 10:41:18.621663 Epoch 13, Training loss 0.07086329556979805, Validation Accuracy 0.9589875040051266
2024-12-03 10:41:33.057978 Epoch 14, Training loss 0.06264025766173736, Validation Accuracy 0.9484139698814482
2024-12-03 10:41:47.471332 Epoch 15, Training loss 0.06598519094830259, Validation Accuracy 0.9512976610060878
2024-12-03 10:42:01.976038 Epoch 16, Training loss 0.05268098611646054, Validation Accuracy 0.9506568407561679
2024-12-03 10:42:16.089060 Epoch 17, Training loss 0.052192931657123284, Validation Accuracy 0.9535405318808075
2024-12-03 10:42:30.678665 Epoch 18, Training loss 0.04651459189246229, Validation Accuracy 0.9580262736302467
2024-12-03 10:42:44.746938 Epoch 19, Training loss 0.05138295619647776, Validation Accuracy 0.9593079141300865
2024-12-03 10:42:59.390621 Epoch 20, Training loss 0.04353049991118629, Validation Accuracy 0.9573854533803268
2024-12-03 10:43:13.884222 Epoch 21, Training loss 0.035945889371180394, Validation Accuracy 0.962191605254726
2024-12-03 10:43:28.556444 Epoch 22, Training loss 0.05055821604879671, Validation Accuracy 0.9634732457545658
2024-12-03 10:43:42.873778 Epoch 23, Training loss 0.04903451194959469, Validation Accuracy 0.9599487343800064
2024-12-03 10:43:56.897342 Epoch 24, Training loss 0.026175930734576757, Validation Accuracy 0.9637936558795258
2024-12-03 10:44:11.079143 Epoch 25, Training loss 0.04309571639373245, Validation Accuracy 0.9609099647548862
2024-12-03 10:44:25.116727 Epoch 26, Training loss 0.025074221255061657, Validation Accuracy 0.9564242230054469
2024-12-03 10:44:39.361182 Epoch 27, Training loss 0.03544736872508861, Validation Accuracy 0.962512015379686
2024-12-03 10:44:53.330321 Epoch 28, Training loss 0.036877811364884, Validation Accuracy 0.962191605254726
2024-12-03 10:45:07.566119 Epoch 29, Training loss 0.04463151241761594, Validation Accuracy 0.9522588913809676
2024-12-03 10:45:21.605493 Epoch 30, Training loss 0.030584942712857013, Validation Accuracy 0.9596283242550464
2024-12-03 10:45:36.016467 Epoch 31, Training loss 0.02767895400586772, Validation Accuracy 0.9564242230054469
2024-12-03 10:45:50.248897 Epoch 32, Training loss 0.04075301992870344, Validation Accuracy 0.9618711951297662
